/Users/shivendra/Desktop/RL_David_Silver/venv/bin/python /Applications/PyCharm.app/Contents/helpers/pydev/pydevconsole.py 59792 59793
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['/Users/shivendra/Desktop/Udacity/AI_Robotics'])
PyDev console: starting.
Python 3.6.5 (v3.6.5:f59c0932b4, Mar 28 2018, 03:03:55) 
[GCC 4.2.1 (Apple Inc. build 5666) (dot 3)] on darwin
runfile('/Users/shivendra/Desktop/RL_David_Silver/Tic-Tac-Toe/comp_vs_comp_training.py', wdir='/Users/shivendra/Desktop/RL_David_Silver/Tic-Tac-Toe')
Rounds done = 1060000 | Wins = 9648 | Losses = 214
Rounds done = 1070000 | Wins = 9641 | Losses = 213
Rounds done = 1080000 | Wins = 9575 | Losses = 242
Rounds done = 1090000 | Wins = 9630 | Losses = 217
Rounds done = 1100000 | Wins = 9651 | Losses = 217
Rounds done = 1110000 | Wins = 9652 | Losses = 203
Rounds done = 1120000 | Wins = 9669 | Losses = 191
Rounds done = 1130000 | Wins = 9593 | Losses = 223
Rounds done = 1140000 | Wins = 9614 | Losses = 212
Rounds done = 1150000 | Wins = 9571 | Losses = 249
Rounds done = 1160000 | Wins = 9534 | Losses = 219
Rounds done = 1170000 | Wins = 9586 | Losses = 204
Rounds done = 1180000 | Wins = 9593 | Losses = 211
Rounds done = 1190000 | Wins = 9576 | Losses = 192
Rounds done = 1200000 | Wins = 9638 | Losses = 198
Rounds done = 1210000 | Wins = 9678 | Losses = 153
Rounds done = 1220000 | Wins = 9643 | Losses = 209
Rounds done = 1230000 | Wins = 9623 | Losses = 180
Rounds done = 1240000 | Wins = 9539 | Losses = 247
Rounds done = 1250000 | Wins = 9604 | Losses = 222
Rounds done = 1260000 | Wins = 9674 | Losses = 176
Rounds done = 1270000 | Wins = 9647 | Losses = 182
Rounds done = 1280000 | Wins = 9643 | Losses = 192
Rounds done = 1290000 | Wins = 9608 | Losses = 200
Rounds done = 1300000 | Wins = 9598 | Losses = 219
Rounds done = 1310000 | Wins = 9596 | Losses = 193
Rounds done = 1320000 | Wins = 9655 | Losses = 185
Rounds done = 1330000 | Wins = 9624 | Losses = 209
Rounds done = 1340000 | Wins = 9610 | Losses = 208
Rounds done = 1350000 | Wins = 9631 | Losses = 204
Rounds done = 1360000 | Wins = 9607 | Losses = 208
Rounds done = 1370000 | Wins = 9568 | Losses = 220
Rounds done = 1380000 | Wins = 9608 | Losses = 210
Rounds done = 1390000 | Wins = 9608 | Losses = 220
Rounds done = 1400000 | Wins = 9655 | Losses = 200
Rounds done = 1410000 | Wins = 9678 | Losses = 169
Rounds done = 1420000 | Wins = 9612 | Losses = 188
Rounds done = 1430000 | Wins = 9634 | Losses = 197
Rounds done = 1440000 | Wins = 9642 | Losses = 198
Rounds done = 1450000 | Wins = 9691 | Losses = 159
Rounds done = 1460000 | Wins = 9659 | Losses = 172
Rounds done = 1470000 | Wins = 9650 | Losses = 158
Rounds done = 1480000 | Wins = 9605 | Losses = 197
Rounds done = 1490000 | Wins = 9617 | Losses = 198
Rounds done = 1500000 | Wins = 9667 | Losses = 190
Rounds done = 1510000 | Wins = 9659 | Losses = 172
Rounds done = 1520000 | Wins = 9646 | Losses = 180
Rounds done = 1530000 | Wins = 9711 | Losses = 157
Rounds done = 1540000 | Wins = 9655 | Losses = 165
Rounds done = 1550000 | Wins = 9715 | Losses = 160
Rounds done = 1560000 | Wins = 9636 | Losses = 175
Rounds done = 1570000 | Wins = 9691 | Losses = 164
Rounds done = 1580000 | Wins = 9692 | Losses = 161
Rounds done = 1590000 | Wins = 9723 | Losses = 167
Rounds done = 1600000 | Wins = 9685 | Losses = 200
Rounds done = 1610000 | Wins = 9678 | Losses = 180
Rounds done = 1620000 | Wins = 9699 | Losses = 182
Rounds done = 1630000 | Wins = 9685 | Losses = 169
Rounds done = 1640000 | Wins = 9669 | Losses = 182
Rounds done = 1650000 | Wins = 9688 | Losses = 175
Rounds done = 1660000 | Wins = 9679 | Losses = 180
Rounds done = 1670000 | Wins = 9695 | Losses = 187
Rounds done = 1680000 | Wins = 9668 | Losses = 182
Rounds done = 1690000 | Wins = 9662 | Losses = 187
Rounds done = 1700000 | Wins = 9693 | Losses = 186
Rounds done = 1710000 | Wins = 9626 | Losses = 211
Rounds done = 1720000 | Wins = 9661 | Losses = 205
Rounds done = 1730000 | Wins = 9614 | Losses = 163
Rounds done = 1740000 | Wins = 9665 | Losses = 181
